text,label
Finale Erweiterung des Rollenspiels verspricht jede Menge Neuerungen und Verbesserungen,0
Unternehmen nimmt Entscheidung zur Kenntnis und analysier,3
'Über 120,1
Parteichef Iglesias besteht aber auf Referendum zu Katalonien,2
"War bisher etwa bei ""Heute"", ""Der neue Grazer"" und ""Falstaff""",6
Die Wiener Austria lädt Flüchtlinge zum Training ein,4
Die Rekordarbeitslosigkeit wird Österreich noch länger beschäftigen,3
"Mit ""Gefährderansprache"" und Meldeverpflichtung für potenziell gefährlich Radikalisierte",5
Klage in Deutschland und Datenanfrage in den USA,3
Attentäter ist auf Fotos mit Kriegsfahne zu sehen,1
Kritiker sehen im neuen Admira-Trainer Ernst Baumeister nur einen Strohmann,4
Konzentration auf Kernbereiche wie News und Sport,0
Siebenköpfige Gruppe war in den französischen Pyrenäen durch Hochwasser blockiert,1
Neues europäisches Banken-Abwicklungsregime ab 1,3
Neue Technologie simuliert Hautänderungen im Mikrometerbereich,0
Tageszeitung zeigt falsche Person als mutmaßlichen Verdächtigen,6
"Im Schauspielhaus Wien feierte ""Möglicherweise gab es einen Zwischenfall"" Premiere",8
Polizei: Fischer gingen auf Kollisionskurs,2
Die Jecken feiern gegen Grapschen und Terrordrohungen,1
Keine offensichtlichen Hinweise auf Fremdverschulden,1
Landeshauptleute von Tirol beraten Grenzkontrollen zwischen Italien und Österreich,1
'Laut Medienberichten verzichtete der Argentinier auf den Pokal,4
"3D-Support für aktuelle Nvidia-Karten, Sicherheitsverbesserungen und neues Dateisystem",0
"Flagge der ""Bearded Villains"" zeigt gekreuzte Schwerter",1
"Par-Runde zum Auftakt – Woods mit miserabler Runde,  Johnson voran",4
Deutscher Kryptologe mit Rundumschlag zu Microsofts neuestem Betriebssystem,0
Vorgänger soll zu Monatsbeginn hingerichtet worden sein,2
"Melden-Funktion wird missbraucht, um Aktivisten und Blogger verstummen zu lassen",0
Duell am 16,4
Gesperrte Gaddafi-Konten fast leer – Exlandeshauptmann will Tripolis besuchen,5
Zinszahlung war am Donnerstag fällig,3
Gewerkschafter Kimberger: Pädagogen mit Sonderverträgen anstellen,5
"Staatsanwaltschaft leitet Vorhabensbericht an Justizministerium weiter, Ermittlungen laufen seit 2009",3
Fortdauernder Streit um Zulassung des Herbizids,3
"Gerät soll Mausbedienung revolutionieren, zeigt in der Praxis aber Schwächen",0
"Eine deutsche Busfirma berichtet, dass die Sachbeschädigungen zurückgegangen sind",0
5,0
In Malaysia baut Osram eine eigene LED-Chipfabrik,0
Bürgermeister Schaden verwundert über Abstimmungsverhalten der Freiheitlichen,5
'Angreifer trug Bekennerschreiben und Zettel mit schwarzer IS-Fahne bei sich,2
Eagles of Death Metal riefen zur Teilnahme an Spendenaktion auf,8
G-7-Gegner unterwegs,2
Belohnung für Fortschritte im EU-Annäherungsprozess erhofft,2
Immer weniger Rückhalt für Dilma Rousseff,2
Beschäftigungsaufbau denkbar,0
Ansicht über angemessene Straffung der Geldpolitik wird möglicherweise überdacht,3
Staatsanwaltschaft will Verurteilung wegen Mordes,1
Soll ab Mitternacht gelten,2
Medienmogul lässt jüngere Generation ran - Sohn James wird Vorstandschef,6
Interne Transferzahlungen zwischen den Gebietskörperschaften sollen abgebaut werden,1
Ehe scheitert an Narkolepsie,6
"Aufsichtsratschef froh, dass der Vorstandschef bleibt",3
Austria-Verteidiger erhält beim deutschen Bundesliga-Aufsteiger einen Vertrag bis 2018,4
"Neue Rubrik namens ""profil//shortlist"" eingeführt",6
Der Lungenfacharzt hat sich mit der Stadt Wien angelegt,5
Niederösterreicher kämpfte ab der Hälfte des Matches mit starken Knieschmerzen,4
"Ungarische Regierung nimmt Massenausreise hin, kaum Flüchtlinge in Budapest",1
Auch Bayern-Zugang Renato Sanches im 23-Mann-Aufgebot von Teamchef Santos,4
Mann verletzte Jugendliche mit Stock am Kopf,1
Die Moskauer Scientology-Kirche muss dichtmachen,1
"""Beleidigung der patriotischen Gefühle"" – Demonstration gegen Sendung",6
Jaap Huijskes scheidet früher als geplant aus,3
Österreicher in Rio gegen Schwartzman mit gewonnenem ersten Satz,4
'Bis Ende 2016 werden die Ostbankenbeteiligungen mit derzeit 48,3
'DER STANDARD erklärt im Wien-Lexikon bis zur Wahl am 11,5
"Acht neue Patienten mit der schweren Atemwegserkrankung, Reisewarnung in Hongkong",1
"Pröll: ""Einen großartigen Seelsorger verloren""",5
Supreme Court: Staatliche Beihilfen für Versicherte durch Gesetzestext gedeckt,2
"Neuerliche Turbulenzen unter den Kärntner Freiheitlichen, Darmann folgt nach",5
Schicker fordert Öffnung des Wahlrechts für alle – ÖVP dagegen,5
Angriff in der Nacht zum Samstag,2
Sechs Monate bedingt und 9,1
"Vermeintlicher 500-Euro-Gutschein ist nur Lockmittel, um an Daten zu gelangen",0
"Deal ist 15,6 Mrd",0
Dots-Chef Martin Ho möchte revitalisieren und Preise senken,8
Mann prangerte nach Brandstiftung wachsende Kriminalität an,2
Schadenersatz für verpassten Geschäftstermin,1
Verhandlungen mit den Gläubigern,3
Konfrontation zwischen jugendlichen Palästinensern und israelischer Armee,2
"SPÖ-Klubchef will bei Wien-Wahl ""beinharte"" Auseinandersetzung mit FPÖ",5
Christian W,6
"Projekt ""MutMacher"" der Jugendanwaltschaft bringt junge Flüchtlinge mit Mentoren zusammen",1
Händler element14 nimmt Version mit vorinstalliertem Microsoft-System ins Angebot,0
Tausende Urlauber zieht Fidschi mit seiner Unterwasserwelt an,1
Niederösterreicher hatte gegen den Weltranglisten-77,4
Knights feierten auch in ihrem fünften Liga-Spiel einen Sieg,4
Zuvor hatte stundenlang Unsicherheit geherrscht,3
Südkoreanischer Konzern will Berechnung von Schadenersatz klären,0
"Gunther von Hagens ""Menschen-Museum"" könnte das Aus drohen",7
Finanzkanzlei zieht knapp acht Wochen nach Enthülllungen Konsequenzen,3
Syrische Beobachtungsstelle für Menschenrechte spricht von mindestens elf Toten,2
US-Schauspieler wird erster nichtbritische Moderator der Kultsendung,6
Stiftung verlieh Chen Guangcheng in Washington die Truman-Reagan Freiheitsmedaille,2
Mehrere Bomben in Busbahnhof von Gombe explodiert,2
Ehefrau Ensaf Haidar demonstrierte bei 50,1
Vier Aktivisten harren weiter in Naturpark aus,2
Chinesische Behörden hatten Kreuze von Kirchen gerissen,1
Laut Aktivisten auch 50 Kinder unter den Opfern,2
Kurden rücken auf umkämpfte syrische Stadt Tal Abjad vor,2
Vom nächtlichen Leben mit einem Gipsarm,8
Gegen den Leiter der Landespersonalabteilung läuft ein Disziplinarverfahren,5
"Die bayerische Kabarettistin mit ihrem Programm ""Ruhe bewahren!"" im Stadtsaal",8
Gruppe soll neue Anschläge in Belgien geplant haben,2
Bisher 2,3
Mourinho wird sich wegen Beleidigung vor der FA verantworten müssen,4
EU-Kommission drängt zum Handeln gegen Billigstahl,3
14 andere Länder starten noch heuer,0
Trainer von Benfica wagt sich zum Stadtrivalen,4
Indien könnte schon 2017 der größte Smartphone-Markt der Welt sein,0
Im Team arbeitet auch ein Inspektor der sudanesischen Antikenverwaltung,7
"Afghanistans Präsident Ghani verurteilt ""feigen Terroranschlag""",2
Nach 33,4
Essen ist immer auch mit der Heimat verbunden,1
Bis zu 80 Minuten Verspätung auf Strecke Salzburg – München,1
12,1
"Parteispitze stellt sich hinter Mandatar: ""Kein Aufruf zu Gewalt""",0
Bis zu 9,2
AGI muss mehr als 100,3
Verordnung soll in zwei Wochen vorliegen – Bis 31,5
Ex-Basel-Trainer wird Nachfolger von Vincenzo Montella,4
"""Der Spiegel"": Wenn Italien seinen Verpflichtungen nicht nachkommt",1
Nach umstrittener Besetzung des Radio-Wirtschaftschefs,6
"Obmann Reinhold Mitterlehner kündigt neues ""Fitnessprogramm"" für das Land an",5
Kurz laufende Anleihen mit und ohne Sicherheitspuffer,3
Im Tiergarten Schönbrunn in Wien sind Luchs-Zwillinge zur Welt gekommen,1
Gruppe soll Anschlag in Moskau geplant haben,2
Wearables für Tiere: Smartbell statt traditioneller Kuhglocke,0
Plagiatsjäger werfen Verteidigungsministerin Regelverstöße in medizinischer Doktorarbeit vor,2
"Albanien, Wales und Georgien Gegner bei Turnier in Tiflis",4
Zumeist Verteidiger der Krim-Annexion betroffen,2
Regierung will ausländischen Einfluss auf israelische Politik unterbinden,2
"Für Städter, hat man ihm gesagt, sei seine Musik nichts",8
Starkes Schlussquartal – Mitarbeiterzahl in Österreich weiterhin rückläufig,0
China vor Syrien und Iran auf Ranking von Freedim House,6
88 Prozent der Einnahmen kommen von den 300,5
"Eine US-Anwaltskanzlei sucht betroffene Nutzer, die sich der Klage anschließen",0
Laut der Beobachtungsstelle Ares hat die Gaddafi-nahe 32,0
"'Einige Streitigkeiten müssen ruhend gestellt werden, soll der Anleihenrückkauf klappen",3
Parlament hob Immunität von Staatsoberhaupt Otto Perez nach Korruptionsvorwürfen  auf,2
Fast jede zweite Republikanerin würde Trump nicht unterstützen,2
Verfahrensbeginn unklar,1
"Smartphones, SIM-Karten und Ladegeräte wurden zu unerlässlichen Hilfsmitteln",0
"Wiener Westbalkankonferenz sei ""Schande"" – Androhung im Parlament am Mittwoch",1
Das Duo war ursprünglich als einmaliges Feiertags-Event angedacht gewesen,6
Dutzende Menschen waren nach Kentern ihres Boots vermisst,1
"Haft wegen Vorwurf der ""Unruhestiftung"" wegen Unterstützung der Hongkonger Demokratie-Proteste",6
Jede Art der Kommunikation zwischen Häftlingen und Außenwelt unterbunden,1
Ehrenprofessor mit Glück im Spiel,3
"Angriff, als Pensionistin nach Hause kam – Kein erkennbares Motiv",1
Unsicherheit nach Ablehnung von Gläubiger-Sparvorschlägen in Referendum belastete Handel,3
Außenminister appelliert an UNO-Sicherheitsrat britischen Entwurf nicht anzunehmen,2
35-Jähriger hat Schweigen gebrochen,2
Gewerkschaft und Sozialministerium streben Lösung mit Banken an,3
Das Rennen um die Hofburg ist offen,5
Schauspielerin starb 90-jährig im Schlaf,8
Druck nach Veröffentlichung von Kindheitsfotos und Geburtsurkunde offenbar zu groß,1
Mehr Minderheiten und Frauen: Academy ändert Aufnahme-Statuten,8
Ein geschenkter Moment von Zeit zu Zeit,1
Auftakt zu einem weiteren Gerichtsverfahren gegen den russischen Aktionskünstler,8
'Regionalregierung ruft zu Halali auf 250,1
Kläger aber zu Stillschweigen verpflichtet,0
Angriff auf  Eurowings geplant,3
Reaktion auf Negativlauf,4
1,1
34 der Schwachstellen werden als hoch kritisch eingestuft,0
Fünf Millionen Dollar in Förderfonds,0
Industrieländer kämpfen seit Jahren gegen die Flaute,3
"William Shakespeares ""Der Sturm"" in Perchtoldsdorf",8
Seit Jahren besucht Walter Tributsch den Akademikerball,5
Starke Spezifikationen zum Kampfpreis – auch neuer Luftreiniger im Programm,0
Lieferungen sollen rund 100,2
"Förderung beträgt jeweils bis zu 2,5 Millionen",7
Neueröffnungen ab April,3
Deutsche Gewerkschaft warnt vor Folgen einer Flüchtlingsobergrenze in Österreich,5
Mit 13 verdingte sich Sami H,1
Sender und Drehstart laut UFA Fiction noch unklar,6
Erneut keine Schäden,1
Ein linker Reformer rückt in die erste Reihe,2
Kleine Mengen der Droge sollen die Leistungsfähigkeit steigern,0
Das Vorgehen soll die Informanten schützen,3
Neonazis unterstützen die Kandidatur des Republikaners,2
"Anklage: ""Einer der größten Betrugsfälle in der Geschichte der Automobilindustrie""",3
"'Menschenrechtler kritisieren ""Drecksarbeit"" der Regierung für den  nördlichen Nachbarn",1
"Es wird gelauscht, abgehört, mitgelesen",5
Für die Bullen gilt es einen Fehlstart wettzumachen,4
Zweifel an pädagogischer Befähigung der Lehrerin,5
Unbekannter trug Pfefferspray und Handschellen am Gürtel,1
EA kündigt neue Zusatzinhalte für den Multiplayer-Shooter an,0
51 Punkte des Warriors-Spielmachers beim Sieg in Washington,4
"Die Regierung will zeigen, sie hat einen Plan",1
Microsoft stört unabsichtlich Programm eines US-Fernsehsenders via Popup,0
67 Millionen Euro kosten die Zusatzpensionen für Ex-Kammermitarbeiter,3
"Google versucht so, die Sicherheitsstandards bei Android-Smartphones zu verbessern",0
Lob und Kritik bei Hearing im Parlament,5
Portierung mit besserer Grafik ab 18,0
Drohung an Widersacher,2
"""Größte Sicherheitsbedrohung des Jahres"" nun Realität – schnelle Umstellung empfohlen",0
"Vizebürgermeisterin kritisiert Länderalleingang, Sozialminister soll Verfassungsgericht anrufen",5
Zu 2,1
Kramp-Karrenbauer setzt Homosexuellenehe in eine Reihe mit Inzucht und Vielehe,2
Supermarkt-Kette Morrisons übernimmt Lieferung,3
Abu Salah und zwei Vertraute Ende November bei US-Angriff getroffen,2
In Russland inhaftierter Soldatin wird Tod von Journalisten vorgeworfen,2
"Auch den neuen ""Star Wars""-Film hat Lucas noch nicht gesehen",0
38-Jährige laut psychiatrischem Gutachten zurechnungsfähig,1
Spiel in Stuttgart ging zwei Mal ins Tiebreak,4
Ex-Skispringer Thomas Morgenstern ist unter die Buchautoren gegangen,4
Laut einem Zeitungsbericht existiert ein dementsprechendes CSU-Beschlusspapier,2
"Laute Musik, Nachrichten und Botschaften als Reaktion auf Pjöngjangs Raketentest",2
Mehr als 3,1
"Wartezone soll ""aufgewertet"" werden",1
Eine BBC-Dokumentation enthüllt Briefwechsel von Johannes Paul II,1
'EU-Feinde missbrauchen Brexit-Kampagne,2
"Haider-Intimus stellte Material online, das aus seiner Sicht BayernLB belastet",3
Anlass ist ein Treffen von Knesset-Mitgliedern mit Familien von Attentätern,2
Im europäischen Flüchtlingsstreit wird der Ton schärfer,1
"Angebot offiziell vorgestellt, Tarifgestaltung mit potenzieller Kostenfalle",0
Arbeiterwohnung in Wien,8
"Martin Gschlacht erhält ""Prix Carlo di Palma"" am 12",8
Die Reorganisation der Zentralstelle des Ministeriums ist abgeschlossen,5
"Oberösterreicher in Wisla bester ÖSV-Vertreter, Teamkollegen weit zurück",4
Turbulente Debatte über Griechenland im Hohen Haus,3
Jürgen Mathies setzt auf mehr Polizeipräsenz und mehr Videoüberwachung,1
Erlaubt umfassenden Zugriff – noch nicht gefixt,0
"Mit Metallgehäuse, großer Kameraaussparung und FIngerabdrucksensor an der Vorderseite",0
"Polizei fand 72-Jährige in ihrer Wohnung, es besteht Mordverdacht",1
"Stadt lässt anonyme Postwurfsendung rechtlich prüfen – Bürgermeister Brunner: ""Abstoßend""",1
Drei Männer planten Anschläge,2
"Niederösterreicher verbesserte sich um einen Rang, Ferrer fällt zurück",4
Lied ist Allgemeingut – Niederlage für Warner Music Group,0
Von Schwerfahrzeug überrollt,1
Regierung steht zu Zeitplan,2
'Tiger Woods  ebenfalls zur Halbzeit ausgeschieden,4
Franzose triumphierte zum vierten Mal im Fürstentum,4
Die Lage am Wiener Arbeitsmarkt ist äußerst angespannt,5
Ein ehemaliger Verwaltungsrichter soll zum Sonderermittler des deutschen NSA-Ausschusses werden,2
Botschafter: Russland wartet weiter auf Erklärung für Festsetzung des Bootes,2
Landwirtschaftsminister aus Amt gedrängt und verhaftet – Korruption zuletzt angewachsen,2
Chiffrierung privater Kommunikation in der Breite soll zum Standard werden,0
Premier nach Panama-Leaks zurückgetreten – Neuwahlen im Herbst,2
Eis? Salzminerale? Fotos aus 4,7
Die neue Spielstätte wird am 16,4
Nach 0:0 gegen Schlusslicht Duisburg weiter in Abstiegszone,4
Athen erhoff sich durch den Verkauf staatlicher Unternehmen 50 Mrd,3
Ab 13,1
Unteroffizier zielte mit entsichertem Sturmgewehr auf Rekruten – Schutzausrüstungen mangelhaft,5
Mischung aus Messenger und Social Network derzeit in Testphase,0
Internetanbieter müssen künftig bei Vertragsabschluss üblicherweise erreichte Geschwindigkeiten angeben,0
Beckenbauers Rolle im WM-Skandal wird dubioser,4
"Zahnproben bestätigten Identität von Victor Navarro alias ""Megateo""",2
Beim Flüchtlingsgipfel mit Landeschefs wird Kompetenzerweiterung diskutiert,1
"Präsident Ouattara sieht Weg frei für ""Erneuerungsprojekt""",2
Erkenntnis half beim Entschlüsseln des Zugangscodes zum Smartphone des San-Bernardino-Attentäters,0
Burgenländer belegt in der Wüste schlussendlich den 13,4
Vor allem der SUV Mokka verkauft sich gut,3
Das Trio spielte am zweiten Festival Tag am Wiener Karlsplatz,8
Analystenerwartungen für zweites Quartal übertroffen,3
Sender Televiziunea Romana hat laut EBU 16 Mio,8
VCÖ: Eltern sollten Schulweg mit Kind üben,1
Apple-Chef gratulierte den Denver Broncos auf Twitter zum Sieg,0
"Nutzer beklagen, dass Upgrade im Hintergrund heruntergeladen und installiert wurde",0
Für Lkw unabhängig von der Wetterlage vorgeschrieben,1
"Schramböck: ""So aufgestellt sind wir wendiger, flexibler und fokussierter",0
"Ein mexikanischer Forscher glaubt, eine rätselhafte Hieroglyphe übersetzen zu können",7
CDU und CSU wollen Schnellverfahren für Asylwerber aus Nordafrika,1
Niederländischer Anti-Piraterie-Verband hat Torrents Time ins Visier genommen,0
Erste Werbewelle ohne Bürgermeister,5
Gesangskapelle Hermann schafft mit einminütigem Video über 26,0
Römerzeitlicher Fund in Aschkelon war von Bauarbeitern versteckt worden,7
Staatssekretärin Steßl: Rabatt als zusätzlicher Anreiz,0
'Heuer sollen rund 85,1
Sozialdemokratischer Präsident strebt Lockerung der 35-Stunden-Woche an,2
Einen genauen Zeitplan gibt es für Österreich noch nicht,3
Freies Unix in neuer Version veröffentlicht – Samt OpenSSH 7,0
Chef des Münchner Ifo-Instituts hält Auslandsschulden für verloren,3
"Der Herr der Schlapphüte hat kaum noch ""Fun""",2
Unternehmen kauft zehn Millionen synthetische DNA-Stränge von Start-up Twist Bioscience,0
"Vertrag des derzeitigen Beauftragten endet 2019, seiner Stellvertreterinnen Ende 2016",5
"Ausblick stabil – Irland auf ""A"" heraufgestuft",3
Das Zertifikat läuft maximal sechs Jahre,3
Süddeutsches Traditionsunternehmen nach striktem Sparkurs wieder in der Gewinnzone,3
Israeli bei zweiter Attacke binnen 24 Stunden verletzt,2
"""Weniger predigen und mehr tun""",1
Frankreichs Außenminister Fabius: Neue Minister müssen sich zu Zwei-Staaten-Lösung bekennen,2
Kommission will empfindliche Strafe für Suchmaschinen-Hersteller,0
Bald ist die Hälfte der Satellitenflotte vor Ort,7
Auf steirischer Quartiersuche für minderjährige Flüchtlinge,1
'Dallas schreibt Geschichte und zieht erstmals im Draft einen Inder,4
"Spannungen mit Ankara – Nato: Vorfall ""unverantwortlich und extrem gefährlich""",2
Folgt damit dem Wunsch vieler Nutzer,0
Verfassungsgericht hatte Haft für nicht rechtens erklärt,6
"Speed, Themenmontag: Frank Sinatra, Verhandlungssache",6
"Vor ""The Force"" für VW und ""Always #LikeAGirl""",6
Einigung auf neue Lizenzvereinbarung mit sieben Jahren Laufzeit,0
"Zwei Festnahmen, Hintergründe noch unklar",2
'4:0-Erfolg der Philadelphia Flyers,4
Rund 10,1
Polizei ermittelt wegen Verdachts auf Vernachlässigung der Aufsichtspflicht,1
Nächster Termin am 24,3
Rund 1,3
Gesamtforderungen liegen bei 86,3
Uugot,0
Ausländer sollen eine Zeitlang keine Sozialhilfeleistungen bekommen,2
"Chefredakteur Voigt habe drei Redakteure gekündigt, berichtet das Medienportal turi2",6
Soll perfekt angepasstes Schuhwerk ermöglichen – bereits Konzept für Geschäfte,0
Trainingscamp für Flüchtlinge in Planung,4
"Brent um 1,3 Prozent auf 48,46 Dollar je Barrel verteuert",3
Cornelia Hütter ist nicht verkopft,4
Stadler ist neue Chefin der Vienna Insurance Group,3
Regie führt Madonna-Choreograf Vincent Patterson,8
"Elias Canettis ""Die Blendung"" im Theater an der Gumpendorfer Straße",8
Die österreichische Malerin wurde 88 Jahre alt,8
'Beamter muss sich vor wegen Amtsmissbrauchs verantworten,2
Medien: Ehemaliger UNMIK-Chef Kouchner als möglicher Zeuge genannt,2
Raschere Spielentscheidungen sollen somit ermöglicht werden,4
Hedgefonds-Managerinnen erzielen laut Untersuchungen höhere Renditen als Männer,3
"Für Schauspieler Manuel Rubey haben Neos-Wähler einen ""Hang zum Geschleckten""",5
"3,5 bis 5,7 Millionen Tonnen kommen allein aus Europa",7
'Der Streit um die Kürzung von Sozialleistungen eskaliert,3
Offenbar versagten Bremsen – Vierjähriges Kind unter den Opfern,1
"Brennende Asylwerberheime, Hassparolen, meist fremdenfeindlicher Hintergrund",2
Erst mehrere Tage nach Unglück in Urwald gefunden,1
Einer von fünf Angeklagten im Vatileaks-2-Prozess nun unter Hausarrest,2
Konjunkturabkühlung in China als Ursache,3
Lange Zeit war Wien das reichste Bundesland,3
"Besitzerin bot vermeintlichen Fernschreiber um 12,50 Euro an",7
Mav-Cargo-Prozess fördert Ungereimtheiten zutage,3
Der Verwendungszweck der filigranen Objekte ist unbekannt,7
Pilot rettete sich offenbar mit Schleudersitz,1
Mehr als 80 Gläubige bei Gedrängel in Casablanca verletzt,1
"Vorläufig gibt es keine Sanktionen, sondern eine Frist bis Juli",3
Griechischer Regierungschef spricht von Uneinigkeit zwischen EU und Währungsfonds,3
"Der Streamingdienst kündigt an, Verstöße gegen Geoblocking zu verhindern",0
"Moskau will Weltall ""erschwinglicher"" machen",7
'Der FPÖ-Funktionär hetzt weiterhin gegen Asylwerber,5
Merkel betont in großem TV-Interview: Aufnahmestopp für Flüchtlinge ist unmöglich,1
Netzaktivisten wollten gegen Twitter-Konten vorgehen,0
Spricht sich eindeutig gegen Begehrlichkeiten von FBI und US-Justiz aus,0
Arbeiten mit dem gewissen Knick in der Wiener Galerie Thoman,8
"Deutschland spricht von ""sorgenvoller Entwicklung""",2
Isotopenanalyse könnte zu Hinterfragung einer klassischen Hypothese führen,7
"Wissenschafter sehen ""Affront"" und protestieren gegen Felber als Wirtschaftstheoretiker",3
Kontrollen vor UN-Klimakonferenz wieder eingeführt,2
Pole holt in den Pyrenäen seinen insgesamt dritten Etappensieg,4
Titelverteidigung geglückt,4
Team um Stephen Curry gewinnt auch die 18,4
IOC-Nachtests überführen 31 Athleten aus 12 Ländern,4
Laut Gewerkschaft strebt der steirische Lieferant Schirnhofer ein Sanierungsverfahren an,3
ÖFB-Teamspieler Arnautovic maßgeblich an Stokes erstem Saisonerfolg beteiligt,4
Wirtschaftskammer-Präsident will Regionalförderung umleiten,5
"""3"" legt kräftig zu: ""Sind der zweitgrößte Internetanbieter des Landes""",0
Der US-Konzern soll angeblich schon bald Streamingangebote von Partnern integrieren,0
Ploss: Ausländerfeindlichkeit gefährdet Standorte,0
"In der Netflix-Serie ""Unbreakable Kimmy Schmidt"" gibt er das Großstadtdickerchen",6
"Luxemburger droht Anzeige von Schule, Lehrer und Ministerium",0
Insider berichten von geplantem Event nächstes Jahr,0
"RB-Trainer Garcia ""sehr, sehr zufrieden"" mit dem Kader",4
Justizministerium hat Ermittlungen der Staatsanwaltschaft wegen fehlenden Anfangsverdachts abgewiesen,5
"Folgt auf Podgorschek, der nach Oberösterreich wechselt",5
Ungebundene Delegierte stellen sich hinter Trump,2
Die Tourismusbranche übt sich in Optimismus,3
Ein DJ-Innovator aus den Neunzigern bespielt am Samstag die Pratersauna,8
'Der Präsidentenwahlkampf schien auch nach der Wahl weiterzugehen,6
Demokratische Präsidentschaftsanwärterin fordert konkrete Pläne von Trump ein,2
Diplomaten in New York beschimpften einander,2
Internationale Bürgermeister-Konferenz in Wien: Warnung vor mafiosen Schlepperstrukturen,1
Man einigte sich auf Grundsätze zur Bekämpfung illegaler Migration,1
Klaus Froese wechselt per 1,3
Fischer lädt seinen Nachfolger Van der Bellen in die Hofburg,5
"Managerin Larson-Green: ""Wir gehen dahin, wo unsere Kunden sind""",0
"Tochterfirma des Autobauers heißt bereits ""Alphabet""",0
Je Altera-Aktie werden 54 US-Dollar in bar geboten,0
Buch war laut Spiegel-Bericht bei Angeklagten im NSU-Prozessor sichergestellt worden,0
"Wiener, die sich für geförderte Wohnungen anmelden, warten ab 1",5
Außerdem seit Februar 2014 insgesamt 378 entwendete Kennzeichen sichergestellt,1
Derzeit 2,1
Vier Personen betroffen – Kohlenmonoxid konnte nicht abgeleitet werden,1
Einige Wesen haben auch bei minimalen Lichtverhältnissen gute Sicht,7
Enterprise Capacity HDD richtet sich an Betreiber von Rechenzentren,0
Ab 2,0
Outing kurz vor Start der Bischofssynode zu Ehe und Familie,2
Minus von vier bis fünf Prozent,3
Aus dem einstigen Boomland ist ein Krisenstaat im Korruptionssumpf geworden,2
Kammerpräsident Wechselberger unterscheidet zwischen Gewerkschaft und Solidarität,5
Sozialversicherungsnovelle zu Pensionstransfer im Bundesrat,3
Joseph S,4
Am Mittwoch hätte der zweitägige Staatsbesuch Hassan Rohanis beginnen sollen,2
Sanitäter wurden entlassen und angezeigt,1
Gerichtsvertreter: Ermittlungen gegen Andreas Georgiou werden eingestellt,3
Acht Monate Hausarrest wegen Morddrohung,1
PORTUGAL: UNGARN: ISLAND,4
Erstmals bei Europadebatte rund um Asylkrise auch EU-Mandatare am Wort,5
Leo Windtner wird Gianni Infantino wählen,4
Mogherini und Ban verurteilten Angriff – Serbischer Premier reagierte gelassen,2
"Migrationsminister gegen Bestrafung ""einer ganzen Gruppe für die Regel-Übertretung Einzelner""",1
Grüne fordern europäische Facebook-Polizei,0
Vizekanzler Gabriel: Partei gehört in Verfassungsschutzbericht und nicht ins Fernsehen,2
Aufnahme zeigt Spiegelung der Erde im Visier bei Reparatur-Ausflug,0
"Griechischer Migrationsminister: Grenzschließungen sind ""wie ein Putsch""",1
"Die wilde Abgeordnete dürfte beim Österreich-Ableger des ""Compact Magazins"" mitwerken",5
